,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
476,Flin Flon,54.77,-101.88,2.94,83,80,4.85
477,Touros,-5.2,-35.46,75.2,88,40,3.36
478,Kadoma,-18.34,29.91,68.91,99,88,4.52
479,Bograd,54.22,90.86,8.6,71,0,4.07
480,Pioner,38.89,63.79,37.4,93,75,13.87
481,Marsaxlokk,35.84,14.54,48.2,70,20,3.36
482,Nichinan,31.65,131.31,51.48,62,75,2.24
483,Ixtapa,20.71,-105.21,75.2,100,40,5.82
484,Nyurba,63.29,118.35,-9.89,68,36,2.73
485,Chicama,-7.84,-79.15,73.4,88,90,5.82
486,Garowe,8.41,48.48,69.32,71,0,9.22
487,Porto Novo,-23.68,-45.44,73.4,88,20,3.36
488,The Valley,18.22,-63.06,73.4,83,20,2.24
489,Oranjestad,12.52,-70.03,77.0,83,20,8.05
490,Lodwar,3.12,35.6,77.28,46,0,3.4
491,Hanmer Springs,-42.52,172.83,66.84,34,12,7.76
492,Campbellsville,37.34,-85.34,22.28,85,1,3.96
493,Berlevag,70.86,29.09,23.55,100,8,10.45
494,Vostok,46.45,135.83,5.01,57,0,2.95
495,Leningradskiy,69.38,178.42,-3.36,91,8,23.98
496,Rawson,-43.3,-65.11,52.85,34,0,8.43
497,Ossora,59.24,163.07,24.95,88,56,15.03
498,Dzilam Gonzalez,21.28,-88.93,60.63,91,0,2.62
499,Newark,40.74,-74.17,28.0,50,75,12.75
500,Sechura,-5.56,-80.82,73.23,90,92,5.19
501,Chontalpa,17.7,-93.52,65.54,89,20,2.17
502,Baghdad,33.3,44.38,37.4,86,0,8.05
503,Malayal,7.21,121.94,86.0,70,40,6.93
504,Kargat,55.19,80.28,-7.82,79,24,5.08
505,Bintulu,3.17,113.03,89.6,70,75,3.36
506,Rome,41.89,12.48,34.45,89,0,5.82
507,Rincon,32.3,-81.24,34.34,99,1,5.41
508,Lerwick,60.15,-1.15,46.4,87,56,24.16
509,Aswan,24.09,32.9,46.23,80,0,4.41
510,Kapit,2.02,112.94,78.77,89,76,2.95
511,Sayaxche,16.52,-90.17,67.07,95,80,4.97
512,Sfantu Gheorghe,44.65,26.83,29.3,100,90,11.41
513,Qiongshan,20.01,110.35,77.0,83,40,11.18
514,Ugoofaaru,5.67,73.0,81.65,100,0,10.33
515,Marienburg,52.12,9.98,35.6,93,90,12.75
516,Belgrade,44.82,20.46,28.4,86,40,9.17
517,Nouakchott,18.08,-15.98,55.4,58,0,5.82
518,Sambava,-14.27,50.17,78.77,100,76,2.51
519,Walvis Bay,-22.95,14.51,55.4,82,0,4.7
520,Port Augusta,-32.49,137.76,98.6,14,0,14.99
521,Darnah,32.77,22.64,61.49,100,20,18.95
522,Pahrump,36.21,-115.98,42.71,76,1,3.36
523,Pontianak,-0.02,109.34,89.6,62,75,1.72
524,Kamaishi,39.28,141.86,37.4,47,75,11.41
525,Kashan,33.99,51.44,33.8,47,0,3.06
526,Mombetsu,44.35,143.35,24.8,53,75,10.29
527,Kalino,51.66,19.56,19.4,92,90,6.93
528,Saryagash,41.45,69.17,41.0,80,90,16.11
529,Muravlenko,63.79,74.5,-23.25,34,20,5.53
530,Sao Luis do Quitunde,-9.32,-35.56,73.4,88,75,1.12
531,Grand-Santi,4.27,-54.38,71.79,95,12,2.95
532,Wanning,48.64,13.53,28.4,79,75,9.17
533,Yaan,7.38,8.57,67.47,89,0,3.06
534,Penzance,50.12,-5.53,44.6,100,75,5.82
535,Bria,6.54,21.99,63.42,66,0,10.67
536,Bilma,18.69,12.92,40.7,72,0,2.84
537,Yuci,37.68,112.73,30.2,58,0,4.47
538,Raudeberg,61.99,5.14,39.18,100,88,21.92
539,Lillooet,50.69,-121.94,33.8,86,90,12.75
